,p,BIC,AIC,HQC
0,0,-2.374636760932775,-2.4415370601007447,-2.4144526126788137
1,1,-2.380665007001053,-2.464588072605252,-2.4306086173830983
2,2,-2.4012204262655277,-2.5022882043808883,-2.4613630172564602
3,3,-2.378241474099983,-2.496577387687207,-2.4486551454970047
4,4,-2.352200656878395,-2.4879296307128858,-2.4329584016851085
5,5,-2.416029640715635,-2.569278126853958,-2.5072053608742153
6,6,-2.4030793094001464,-2.573975313198067,-2.5047478318834275
7,7,-2.372369661950784,-2.561042768647377,-2.4846067552244206
8,8,-2.3820026579386946,-2.588584059821457,-2.504885048803891
9,9,-2.348304671931028,-2.5729271960973894,-2.4819100627586868
10,10,-2.338057294663616,-2.580855431394717,-2.4824643810311247
11,11,-2.3325094807585818,-2.593619412521689,-2.487797969500848
12,12,-2.393938159305289,-2.6734977904017225,-2.560188786992016
13,13,-2.376100198986002,-2.674249185861981,-2.553394750837632
14,14,-2.347074102486456,-2.66395388472482,-2.5354954317416203
15,15,-2.313953910199812,-2.6497077422111417,-2.513585957947596
16,16,-2.281382042155401,-2.6361550255876467,-2.4923098576461764
17,17,-2.2670101470652533,-2.640949263951599,-2.4893199085143367
18,18,-2.272071673935787,-2.665325820601101,-2.5058507098346814
19,19,-2.2649034724082044,-2.6776234941550863,-2.5102402833586996
20,20,-2.235808316221747,-2.668147042817859,-2.4927925973087226
21,21,-2.203015497649335,-2.6551277796384083,-2.471738161368662
22,22,-2.1660677269568724,-2.638110472816515,-2.4466209267154215
23,23,-2.1310329577798903,-2.6231651719500637,-2.423510111985261
24,24,-2.1089304547757974,-2.6213132765826384,-2.4134262715340475
25,25,-2.0756297194747715,-2.6084264629752227,-2.3922402219150856
26,26,-2.0581481064255835,-2.611524301199159,-2.386970658671534
27,27,-2.020963633256185,-2.595087066171068,-2.3620969670639704
28,28,-1.9828844527851803,-2.5779252107667534,-2.3364286948699937
29,29,-1.9614147397450625,-2.5775452535759182,-2.3274714398175425
30,30,-1.9343426537696198,-2.571737742951081,-2.313014813305176
31,31,-1.9311051174859397,-2.5899420361921233,-2.322497219250614
32,32,-1.8902137776143928,-2.570672261770924,-2.2944318159718344
33,33,-1.8514296165556883,-2.5536919320762417,-2.268581128580767
34,34,-1.8181649249090805,-2.5424159171240843,-2.2483590223346686
35,35,-1.7811192721531242,-2.527546416466131,-2.2244666741776116
36,36,-1.7460019853560071,-2.514795439164464,-2.2026150523402066
37,37,-1.7383582244672464,-2.529710880385671,-2.208350992550486
38,38,-1.7352521849051388,-2.549359725330029,-2.218740401571532
39,39,-1.7036439111058068,-2.540704864162987,-2.2007450717329364
40,40,-1.6587149121589615,-2.518930709075498,-2.1695482975825224
41,41,-1.623812807618986,-2.5073878415632835,-2.1484995227483017
42,42,-1.5876886158525885,-2.4948303022878284,-2.1263516293733478
43,43,-1.5843571535857748,-2.515275992183451,-2.137121338787841
44,44,-1.5548539309829803,-2.5097635691449627,-2.121846107752696
45,45,-1.5072316259435103,-2.4863489239827903,-2.088580603961578
46,46,-1.500748755155005,-2.5042938531870904,-2.096585378342753
47,47,-1.4810597780847248,-2.509256164683506,-2.0915169703433882
48,48,-1.4378194408601672,-2.4908940235340453,-2.063032253149716
49,49,-1.4247787142884127,-2.5029618918344876,-2.0648843730944755
50,50,-1.375662766079613,-2.479188502875847,-2.0308007233191274
