,p,BIC,AIC,HQC
0,0,-2.3682164380844704,-2.43511673725244,-2.408032289830509
1,1,-2.376880619267311,-2.46080368487151,-2.4268242296493563
2,2,-2.3994934415041818,-2.5005612196195424,-2.4596360324951143
3,3,-2.3771877450679635,-2.4955236586551877,-2.4476014164649853
4,4,-2.3516011871989226,-2.4873301610334133,-2.432358932005636
5,5,-2.416607567500538,-2.569856053638861,-2.507783287659118
6,6,-2.4036346580590378,-2.5745306618569583,-2.505303180542319
7,7,-2.373371973130103,-2.562045079826696,-2.4856090664037396
8,8,-2.3816071205799663,-2.588188522462729,-2.5044895114451626
9,9,-2.348081310023756,-2.5727038341901176,-2.481686700851415
10,10,-2.3373833506990747,-2.580181487430176,-2.4817904370665835
11,11,-2.3334462953398982,-2.5945562271030056,-2.4887347840821645
12,12,-2.39165827201586,-2.671217903112294,-2.5579088997025874
13,13,-2.372152366774084,-2.670301353650063,-2.549446918625714
14,14,-2.3424428766517336,-2.6593226588900976,-2.530864205906898
15,15,-2.309116579591926,-2.6448704116032555,-2.5087486273397097
16,16,-2.2759224379288034,-2.630695421361049,-2.4868502534195787
17,17,-2.2643865001750623,-2.638325617061408,-2.4866962616241457
18,18,-2.27145423406122,-2.664708380726534,-2.5052332699601143
19,19,-2.2626334307878766,-2.6753534525347584,-2.507970241738372
20,20,-2.232572568119618,-2.664911294715729,-2.4895568492065934
21,21,-2.198696109658444,-2.650808391647518,-2.467418773377772
22,22,-2.1610432006023412,-2.633085946461984,-2.4415964003608903
23,23,-2.126849265472283,-2.618981479642456,-2.4193264196776534
24,24,-2.1011073576458132,-2.613490179452654,-2.4056031744040633
25,25,-2.0674843880540252,-2.6002811315544765,-2.3840948904943393
26,26,-2.0460407960089046,-2.5994169907824802,-2.374863348254855
27,27,-2.007769074185945,-2.5818925071008283,-2.3489024079937306
28,28,-1.968618133957058,-2.563658891938631,-2.3221623760418715
29,29,-1.9529125023835632,-2.569043016214419,-2.318969202456043
30,30,-1.9275941358823476,-2.564989225063808,-2.306266295417904
31,31,-1.919409899827634,-2.5782468185338177,-2.3108020015923083
32,32,-1.8777068273987088,-2.55816531155524,-2.2819248657561504
33,33,-1.8388248711885122,-2.5410871867090656,-2.255976383213591
34,34,-1.8041023359859658,-2.5283533282009696,-2.234296433411554
35,35,-1.768507906477003,-2.51493505079001,-2.2118553085014905
36,36,-1.731911826213266,-2.5007052800217227,-2.1885248931974655
37,37,-1.7266485202319743,-2.518001176150399,-2.196641288315214
38,38,-1.7246399585420722,-2.538747498966962,-2.2081281752084654
39,39,-1.6920031228511143,-2.5290640759082943,-2.189104283478244
40,40,-1.6475747348596181,-2.5077905317761546,-2.158408120283179
41,41,-1.6114371219942414,-2.495012155938539,-2.136123837123557
42,42,-1.574493374070871,-2.481635060506111,-2.1131563875916304
43,43,-1.5669591299759145,-2.4978779685735906,-2.1197233151779806
44,44,-1.5373972168315386,-2.4923068549935206,-2.104389393601254
45,45,-1.4892326008509555,-2.468349898890236,-2.0705815788690227
46,46,-1.484859777803091,-2.4884048758351764,-2.080696400990839
47,47,-1.4586782340885942,-2.4868746206873755,-2.0691354263472577
48,48,-1.4175632423697135,-2.4706378250435916,-2.042776054659263
49,49,-1.4084348291604725,-2.4866180067065473,-2.0485404879665357
50,50,-1.3599695754112584,-2.4634953122074923,-2.015107532650773
