,p,BIC,AIC,HQC
0,0,-2.3618755039675703,-2.42877580313554,-2.4016913557136093
1,1,-2.3722896141010548,-2.4562126797052537,-2.4222332244831
2,2,-2.3968969330961816,-2.4979647112115426,-2.457039524087114
3,3,-2.374906888094448,-2.493242801681672,-2.4453205594914698
4,4,-2.349408578552204,-2.4851375523866945,-2.4301663233589172
5,5,-2.415445638583437,-2.56869412472176,-2.506621358742017
6,6,-2.4022034937114305,-2.573099497509351,-2.5038720161947117
7,7,-2.3722546026536135,-2.5609277093502065,-2.4844916959272503
8,8,-2.379753781109696,-2.586335182992459,-2.502636171974893
9,9,-2.3463581323475764,-2.570980656513938,-2.4799635231752353
10,10,-2.335127186123071,-2.5779253228541723,-2.47953427249058
11,11,-2.3326606537483094,-2.593770585511417,-2.4879491424905757
12,12,-2.388298571180088,-2.6678582022765216,-2.554549198866815
13,13,-2.3678907150209003,-2.6660397018968793,-2.5451852668725303
14,14,-2.337619408579749,-2.654499190818113,-2.5260407378349132
15,15,-2.304395097059002,-2.6401489290703317,-2.504027144806786
16,16,-2.2712976392244633,-2.6260706226567088,-2.4822254547152385
17,17,-2.261041391685625,-2.634980508571971,-2.4833511531347088
18,18,-2.269579544212806,-2.66283369087812,-2.5033585801117004
19,19,-2.259518628244615,-2.6722386499914967,-2.50485543919511
20,20,-2.228866499253424,-2.6612052258495353,-2.4858507803403995
21,21,-2.1944520151402065,-2.6465642971292804,-2.4631746788595343
22,22,-2.1565764496706836,-2.628619195530326,-2.4371296494292327
23,23,-2.1229564991959395,-2.615088713366113,-2.41543365340131
24,24,-2.0962336843428693,-2.6086165061497106,-2.40072950110112
25,25,-2.0622284975417116,-2.595025241042163,-2.3788389999820256
26,26,-2.0398356359612744,-2.59321183073485,-2.368658188207225
27,27,-2.0010931058539847,-2.575216538768868,-2.3422264396617702
28,28,-1.9621892722584637,-2.557230030240037,-2.315733514343277
29,29,-1.9497366791991753,-2.565867193030031,-2.315793379271655
30,30,-1.923737888984408,-2.561132978165869,-2.302410048519964
31,31,-1.9136519362422595,-2.572488854948443,-2.3050440380069337
32,32,-1.8718694371345828,-2.552327921291114,-2.276087475492024
33,33,-1.834202123225614,-2.5364644387461674,-2.251353635250693
34,34,-1.7986273460145348,-2.5228783382295386,-2.228821443440123
35,35,-1.7671645767275004,-2.513591721040507,-2.210511978751988
36,36,-1.7267350113803568,-2.4955284651888134,-2.1833480783645562
37,37,-1.728294322989413,-2.5196469789078377,-2.1982870910726526
38,38,-1.724012025804197,-2.5381195662290867,-2.2075002424705903
39,39,-1.688860119833191,-2.525921072890371,-2.1859612804603206
40,40,-1.6481717162842622,-2.5083875132007982,-2.159005101707823
41,41,-1.6069211228397013,-2.490496156783999,-2.131607837969017
42,42,-1.5681283350659139,-2.475270021501154,-2.106791348586673
43,43,-1.5569381239804343,-2.4878569625781104,-2.1097023091825005
44,44,-1.5381748378675677,-2.4930844760295496,-2.105167014637283
45,45,-1.497216904455076,-2.476334202494356,-2.0785658824731437
46,46,-1.4741511533930258,-2.4776962514251113,-2.0699877765807737
47,47,-1.4427717666629527,-2.470968153261734,-2.053228958921616
48,48,-1.4269216070179267,-2.479996189691805,-2.0521344193074755
