,p,t
0,0,-0.47552912685862
1,1,-0.5087176512777392
2,2,-0.6117283155884301
3,3,-0.8308874891248452
4,4,-0.9081323916245053
5,5,-0.9296411323096277
6,6,-1.200092880634816
