,p,t
0,0,-0.25781181708049833
1,1,-0.26214478967682664
2,2,-0.3159378864140092
3,3,-0.43428730291510387
4,4,-0.44734539371984317
5,5,-0.45214400140344824
6,6,-0.5816100674352505
