,p,t
0,0,-0.1665224030937292
1,1,-0.1761463798910118
2,2,-0.25687509020051014
3,3,-0.4453383830029363
4,4,-0.4454957748906942
5,5,-0.4594129700534107
6,6,-0.6670067042489517
