,p,t
0,0,0.07606698473534147
1,1,0.07829833990555533
2,2,0.030345276531708678
3,3,-0.03681184007904337
4,4,-0.13877696213553053
5,5,-0.1434405709519506
6,6,-0.2586324784765493
