,p,t
0,0,-0.3076416382222831
1,1,-0.33573356108733493
2,2,-0.4345135290492492
3,3,-0.6357734941129792
4,4,-0.7245665553317605
5,5,-0.7460549468208026
6,6,-0.9973019239282237
