,p,t
0,0,0.042955718898975905
1,1,0.012608480083083034
2,2,-0.05161274553198685
3,3,-0.2264547037035168
4,4,-0.0951501714547109
5,5,-0.10939555707201398
6,6,-0.2906444027784295
