,p,t
0,0,-0.4386197333882323
1,1,-0.4643210689851987
2,2,-0.5635576207252174
3,3,-0.8158640089823453
4,4,-0.79983461239669
5,5,-0.8232102689464756
6,6,-1.091595459520485
