,p,t
0,0,-0.30862110265398507
1,1,-0.3084240895372455
2,2,-0.36271529330724483
3,3,-0.48699236667765694
4,4,-0.5358400979968643
5,5,-0.536845080101723
6,6,-0.6509478210216614
