,p,BIC,AIC,HQC
0,0,-11.057257001001812,-11.124157300169783,-11.097072852747852
1,1,-11.924454830859718,-12.008377896463916,-11.974398441241762
2,2,-12.199530415848034,-12.300598193963395,-12.259673006838968
3,3,-12.184083067000032,-12.302418980587255,-12.254496738397053
4,4,-12.222202551674926,-12.357931525509416,-12.30296029648164
5,5,-12.235359496009018,-12.388607982147342,-12.326535216167597
6,6,-12.215519789125967,-12.386415792923888,-12.317188311609248
7,7,-12.2195949919524,-12.408268098648993,-12.331832085226036
8,8,-12.190981411207593,-12.397562813090357,-12.31386380207279
9,9,-12.15860191960137,-12.383224443767732,-12.29220731042903
10,10,-12.12767977557163,-12.370477912302732,-12.27208686193914
11,11,-12.098971476422237,-12.360081408185346,-12.254259965164504
12,12,-12.065790676869462,-12.345350307965894,-12.232041304556189
13,13,-12.038928515618672,-12.33707750249465,-12.2162230674703
14,14,-12.010331239583703,-12.327211021822068,-12.198752568838866
15,15,-11.980860959366575,-12.316614791377905,-12.18049300711436
16,16,-11.96727207167859,-12.322045055110836,-12.178199887169365
17,17,-11.93107854714498,-12.305017664031325,-12.153388308594064
18,18,-11.897010764357024,-12.290264911022337,-12.130789800255917
19,19,-11.869036734885489,-12.28175675663237,-12.114373545835985
20,20,-11.851248086548846,-12.283586813144957,-12.108232367635821
21,21,-11.815357584144952,-12.267469866134025,-12.08408024786428
22,22,-11.783336120083662,-12.255378865943305,-12.063889319842211
23,23,-11.784670002507537,-12.276802216677712,-12.07714715671291
24,24,-11.877348173136976,-12.389730994943816,-12.181843989895226
25,25,-11.845352822335489,-12.378149565835939,-12.161963324775803
26,26,-11.808850709867054,-12.362226904640629,-12.137673262113005
27,27,-11.78469301512955,-12.358816448044433,-12.125826348937334
28,28,-11.750490239887643,-12.345530997869215,-12.104034481972455
29,29,-11.743128884565017,-12.359259398395874,-12.109185584637498
30,30,-11.703777567965616,-12.341172657147077,-12.08244972750117
31,31,-11.668488439650995,-12.327325358357179,-12.05988054141567
32,32,-11.631629633968803,-12.312088118125335,-12.035847672326245
33,33,-11.60920834958526,-12.311470665105812,-12.026359861610338
34,34,-11.567310981090664,-12.291561973305667,-11.997505078516252
35,35,-11.545372549754275,-12.291799694067281,-11.988719951778762
36,36,-11.502049625986686,-12.270843079795142,-11.958662692970885
37,37,-11.463308659300983,-12.254661315219408,-11.933301427384222
38,38,-11.418520973046768,-12.232628513471658,-11.90200918971316
39,39,-11.38348519138119,-12.220546144438371,-11.88058635200832
40,40,-11.34260964253734,-12.202825439453877,-11.853443027960902
41,41,-11.300067477629172,-12.18364251157347,-11.824754192758489
42,42,-11.261649761484307,-12.168791447919547,-11.800312775005066
43,43,-11.239674264932463,-12.17059310353014,-11.79243845013453
44,44,-11.19475529725388,-12.149664935415863,-11.761747474023597
45,45,-11.148434654707087,-12.127551952746368,-11.729783632725153
46,46,-11.101278260824603,-12.10482335885669,-11.697114884012352
47,47,-11.07147961918222,-12.099676005781003,-11.681936811440885
48,48,-11.02356260962245,-12.076637192296328,-11.648775421912
49,49,-10.98938086356863,-12.067564041114705,-11.629486522374693
50,50,-10.952375697309536,-12.05590143410577,-11.607513654549052
