,p,BIC,AIC,HQC
0,0,-11.056987841138247,-11.123888140306217,-11.096803692884286
1,1,-11.924015598899189,-12.007938664503387,-11.973959209281233
2,2,-12.199054267662673,-12.300122045778034,-12.259196858653606
3,3,-12.183472942612752,-12.301808856199976,-12.253886614009774
4,4,-12.221366345577668,-12.357095319412158,-12.302124090384382
5,5,-12.234204148026846,-12.38745263416517,-12.325379868185426
6,6,-12.214524798438466,-12.385420802236387,-12.316193320921748
7,7,-12.218267299974887,-12.40694040667148,-12.330504393248525
8,8,-12.189502369165858,-12.396083771048621,-12.312384760031055
9,9,-12.157022599147725,-12.381645123314087,-12.290627989975384
10,10,-12.126143053793456,-12.368941190524557,-12.270550140160966
11,11,-12.097484212413253,-12.358594144176362,-12.25277270115552
12,12,-12.064829769892928,-12.34438940098936,-12.231080397579655
13,13,-12.038207048846914,-12.336356035722892,-12.215501600698543
14,14,-12.009497690448047,-12.326377472686412,-12.19791901970321
15,15,-11.98009765558729,-12.31585148759862,-12.179729703335074
16,16,-11.966875959499129,-12.321648942931375,-12.177803774989904
17,17,-11.930706552516165,-12.304645669402511,-12.15301631396525
18,18,-11.896635997713627,-12.28989014437894,-12.13041503361252
19,19,-11.86864995177366,-12.281369973520542,-12.113986762724156
20,20,-11.8496948886118,-12.282033615207911,-12.106679169698776
21,21,-11.814155140352955,-12.266267422342029,-12.082877804072284
22,22,-11.781576355695698,-12.25361910155534,-12.062129555454247
23,23,-11.780864407396427,-12.272996621566602,-12.073341561601799
24,24,-11.87497964366671,-12.38736246547355,-12.17947546042496
25,25,-11.843312412780064,-12.376109156280513,-12.159922915220378
26,26,-11.807392513475662,-12.360768708249237,-12.136215065721613
27,27,-11.783648558008075,-12.357771990922958,-12.124781891815859
28,28,-11.749065157804967,-12.344105915786539,-12.10260939988978
29,29,-11.740509758692996,-12.356640272523853,-12.106566458765476
30,30,-11.701249368095283,-12.338644457276745,-12.07992152763084
31,31,-11.66596137406961,-12.324798292775794,-12.057353475834285
32,32,-11.630247601271126,-12.310706085427658,-12.034465639628568
33,33,-11.608221520895036,-12.310483836415589,-12.025373032920115
34,34,-11.566455938987914,-12.290706931202918,-11.996650036413502
35,35,-11.545423568301398,-12.291850712614405,-11.988770970325886
36,36,-11.501923941663902,-12.270717395472358,-11.9585370086481
37,37,-11.463529801780806,-12.254882457699232,-11.933522569864046
38,38,-11.418753942788678,-12.232861483213568,-11.90224215945507
39,39,-11.38293633173246,-12.21999728478964,-11.88003749235959
40,40,-11.34126004432008,-12.201475841236617,-11.852093429743642
41,41,-11.299465465842898,-12.183040499787197,-11.824152180972215
42,42,-11.261488309156652,-12.168629995591893,-11.800151322677412
43,43,-11.239631112309569,-12.170549950907246,-11.792395297511636
44,44,-11.194599291261827,-12.14950892942381,-11.761591468031543
45,45,-11.148044697699664,-12.127161995738945,-11.72939367571773
46,46,-11.100792600534628,-12.104337698566715,-11.696629223722377
47,47,-11.070393433963268,-12.09858982056205,-11.680850626221932
48,48,-11.022391650603412,-12.07546623327729,-11.64760446289296
49,49,-10.988363743262706,-12.066546920808781,-11.628469402068768
50,50,-10.951309485409713,-12.054835222205947,-11.606447442649227
