,p,BIC,AIC,HQC
0,0,-11.057059678115658,-11.12395997728363,-11.096875529861698
1,1,-11.924027381984482,-12.00795044758868,-11.973970992366526
2,2,-12.199054375151276,-12.300122153266637,-12.259196966142209
3,3,-12.183472832378921,-12.301808745966145,-12.253886503775943
4,4,-12.221369598782504,-12.357098572616994,-12.302127343589218
5,5,-12.23421526991118,-12.387463756049504,-12.32539099006976
6,6,-12.214538416492141,-12.385434420290062,-12.316206938975423
7,7,-12.218295615150092,-12.406968721846685,-12.330532708423728
8,8,-12.189538692067519,-12.396120093950282,-12.312421082932715
9,9,-12.157066942647983,-12.381689466814345,-12.290672333475642
10,10,-12.126137560736508,-12.36893569746761,-12.270544647104018
11,11,-12.09758154155134,-12.35869147331445,-12.252870030293607
12,12,-12.064850352147797,-12.34440998324423,-12.231100979834524
13,13,-12.038209350137208,-12.336358337013186,-12.215503901988837
14,14,-12.009527032686062,-12.326406814924427,-12.197948361941226
15,15,-11.980129375247321,-12.31588320725865,-12.179761422995105
16,16,-11.967033453877438,-12.321806437309684,-12.177961269368213
17,17,-11.930949991442917,-12.304889108329263,-12.153259752892001
18,18,-11.89685177771625,-12.290105924381564,-12.130630813615143
19,19,-11.86865517834392,-12.281375200090801,-12.113991989294416
20,20,-11.849559661378464,-12.281898387974575,-12.10654394246544
21,21,-11.813785803820133,-12.265898085809207,-12.082508467539462
22,22,-11.781050395457136,-12.253093141316779,-12.061603595215685
23,23,-11.780392484247846,-12.272524698418021,-12.072869638453218
24,24,-11.874450035980502,-12.386832857787342,-12.178945852738751
25,25,-11.842882643232876,-12.375679386733326,-12.15949314567319
26,26,-11.807034662770128,-12.360410857543704,-12.13585721501608
27,27,-11.78385320459996,-12.357976637514843,-12.124986538407745
28,28,-11.74964260162513,-12.344683359606703,-12.103186843709944
29,29,-11.742099057883308,-12.358229571714165,-12.108155757955789
30,30,-11.702502931467365,-12.339898020648826,-12.08117509100292
31,31,-11.66699648590137,-12.325833404607554,-12.058388587666045
32,32,-11.63125947695543,-12.311717961111961,-12.035477515312872
33,33,-11.610542176456255,-12.312804491976808,-12.027693688481333
34,34,-11.568718253383832,-12.292969245598835,-11.99891235080942
35,35,-11.54664383938429,-12.293070983697296,-11.989991241408777
36,36,-11.50304906492548,-12.271842518733937,-11.95966213190968
37,37,-11.464063437929727,-12.255416093848153,-11.934056206012967
38,38,-11.419214438998509,-12.2333219794234,-11.902702655664902
39,39,-11.384148144382426,-12.221209097439607,-11.881249305009556
40,40,-11.341914373667002,-12.202130170583539,-11.852747759090564
41,41,-11.299303827703874,-12.182878861648172,-11.82399054283319
42,42,-11.260827220634678,-12.167968907069918,-11.799490234155437
43,43,-11.239356640885148,-12.170275479482825,-11.792120826087215
44,44,-11.19434293094311,-12.149252569105093,-11.761335107712826
45,45,-11.148783310280372,-12.127900608319653,-11.730132288298439
