,p,BIC,AIC,HQC
0,0,-11.062991993055991,-11.129892292223962,-11.102807844802031
1,1,-11.924566345640097,-12.008489411244295,-11.97450995602214
2,2,-12.199337652034254,-12.300405430149615,-12.259480243025187
3,3,-12.183497849557284,-12.301833763144508,-12.253911520954306
4,4,-12.222266381993448,-12.357995355827939,-12.303024126800162
5,5,-12.234608389261812,-12.387856875400136,-12.325784109420391
6,6,-12.214981903344288,-12.38587790714221,-12.31665042582757
7,7,-12.218381670480182,-12.407054777176775,-12.330618763753819
8,8,-12.189525328664075,-12.396106730546839,-12.312407719529272
9,9,-12.15696490942208,-12.381587433588441,-12.290570300249739
10,10,-12.126028444377127,-12.368826581108229,-12.270435530744637
11,11,-12.097302033932758,-12.358411965695867,-12.252590522675025
12,12,-12.064692394280092,-12.344252025376525,-12.23094302196682
13,13,-12.038093254874083,-12.33624224175006,-12.215387806725712
14,14,-12.009369010518869,-12.326248792757234,-12.197790339774032
15,15,-11.979970650172941,-12.31572448218427,-12.179602697920725
16,16,-11.966912738732654,-12.3216857221649,-12.17784055422343
17,17,-11.930815346778056,-12.304754463664402,-12.15312510822714
18,18,-11.89663626545544,-12.289890412120753,-12.130415301354333
19,19,-11.86858420210526,-12.281304223852143,-12.113921013055757
20,20,-11.849391470791005,-12.281730197387116,-12.10637575187798
21,21,-11.813936844327323,-12.266049126316396,-12.082659508046651
22,22,-11.781432764736133,-12.253475510595775,-12.061985964494681
23,23,-11.78040522045734,-12.272537434627514,-12.072882374662711
24,24,-11.874439560105854,-12.386822381912694,-12.178935376864104
25,25,-11.842685051886786,-12.375481795387236,-12.1592955543271
26,26,-11.806787242809495,-12.36016343758307,-12.135609795055446
27,27,-11.783304794712114,-12.357428227626997,-12.124438128519898
28,28,-11.748814065747002,-12.343854823728575,-12.102358307831816
29,29,-11.74052551926772,-12.356656033098577,-12.1065822193402
30,30,-11.701244697842867,-12.338639787024327,-12.079916857378421
31,31,-11.665739057793779,-12.324575976499963,-12.057131159558454
32,32,-11.629852348082803,-12.310310832239335,-12.034070386440245
33,33,-11.608631230540938,-12.310893546061491,-12.025782742566017
34,34,-11.567085102705805,-12.291336094920808,-11.997279200131393
35,35,-11.546798623566007,-12.293225767879013,-11.990146025590494
36,36,-11.503024557795058,-12.271818011603514,-11.959637624779257
37,37,-11.46452955542797,-12.255882211346394,-11.934522323511208
38,38,-11.419594996276095,-12.233702536700985,-11.903083212942487
39,39,-11.383752040745922,-12.220812993803102,-11.880853201373052
40,40,-11.342035993720001,-12.202251790636538,-11.852869379143563
41,41,-11.29981714520119,-12.183392179145489,-11.824503860330507
42,42,-11.261585164083998,-12.168726850519239,-11.800248177604757
43,43,-11.239507880363911,-12.170426718961588,-11.792272065565978
44,44,-11.194815737565804,-12.149725375727787,-11.76180791433552
45,45,-11.148197194678575,-12.127314492717856,-11.729546172696642
46,46,-11.101079890923291,-12.104624988955377,-11.69691651411104
47,47,-11.071939607064575,-12.100135993663356,-11.682396799323238
48,48,-11.023723240371668,-12.076797823045545,-11.648936052661217
49,49,-10.988593985676589,-12.066777163222664,-11.628699644482651
50,50,-10.950295120430921,-12.053820857227155,-11.605433077670437
