,p,BIC,AIC,HQC
0,0,-11.05820247789393,-11.125102777061901,-11.09801832963997
1,1,-11.927652403798222,-12.01157546940242,-11.977596014180266
2,2,-12.20418425994296,-12.30525203805832,-12.264326850933893
3,3,-12.187851483824986,-12.30618739741221,-12.258265155222007
4,4,-12.226103268496145,-12.361832242330635,-12.306861013302859
5,5,-12.238581706582156,-12.39183019272048,-12.329757426740736
6,6,-12.218904697340294,-12.389800701138215,-12.320573219823576
7,7,-12.222699674110263,-12.411372780806856,-12.334936767383901
8,8,-12.193968480022896,-12.40054988190566,-12.316850870888093
9,9,-12.16141585219995,-12.386038376366312,-12.295021243027609
10,10,-12.130636094794804,-12.373434231525906,-12.275043181162314
11,11,-12.102057731076187,-12.363167662839295,-12.257346219818453
12,12,-12.06948218989313,-12.349041820989562,-12.235732817579857
13,13,-12.043041348216757,-12.341190335092735,-12.220335900068386
14,14,-12.014562126691589,-12.331441908929953,-12.202983455946752
15,15,-11.985351097505418,-12.321104929516748,-12.184983145253202
16,16,-11.97244749338062,-12.327220476812867,-12.183375308871396
17,17,-11.936329452849218,-12.310268569735564,-12.158639214298303
18,18,-11.90221436828015,-12.295468514945464,-12.135993404179043
19,19,-11.874081830845203,-12.286801852592085,-12.119418641795699
20,20,-11.855885899500475,-12.288224626096586,-12.11287018058745
21,21,-11.820072371867578,-12.272184653856652,-12.088795035586907
22,22,-11.787279869249103,-12.259322615108745,-12.067833069007651
23,23,-11.786392818204387,-12.278525032374562,-12.078869972409759
24,24,-11.87935674259432,-12.39173956440116,-12.18385255935257
25,25,-11.847585307594699,-12.380382051095149,-12.164195810035013
26,26,-11.811526767859377,-12.364902962632952,-12.140349320105328
27,27,-11.788055309557578,-12.36217874247246,-12.129188643365362
28,28,-11.753412592587036,-12.34845335056861,-12.10695683467185
29,29,-11.744418266239883,-12.36054878007074,-12.110474966312363
30,30,-11.705237873914765,-12.342632963096227,-12.083910033450321
31,31,-11.669768537867334,-12.328605456573518,-12.061160639632009
32,32,-11.63395251883713,-12.314411002993662,-12.038170557194572
33,33,-11.61189949277336,-12.314161808293912,-12.029051004798438
34,34,-11.570176368366665,-12.294427360581668,-12.000370465792253
35,35,-11.54863229101434,-12.295059435327346,-11.991979693038827
36,36,-11.505049942948045,-12.2738433967565,-11.961663009932243
37,37,-11.466836998240277,-12.258189654158702,-11.936829766323516
38,38,-11.421944727916456,-12.236052268341346,-11.905432944582849
39,39,-11.386559597034152,-12.223620550091333,-11.883660757661282
40,40,-11.344536583131141,-12.204752380047678,-11.855369968554703
41,41,-11.302611241768362,-12.18618627571266,-11.827297956897679
42,42,-11.264309322788986,-12.171451009224226,-11.802972336309745
43,43,-11.242657323381367,-12.173576161979044,-11.795421508583434
44,44,-11.197814279129908,-12.15272391729189,-11.764806455899624
45,45,-11.151497448377636,-12.130614746416917,-11.732846426395703
46,46,-11.104278870942613,-12.1078239689747,-11.700115494130362
47,47,-11.073523256338504,-12.101719642937285,-11.683980448597167
48,48,-11.025136983255136,-12.078211565929013,-11.650349795544685
49,49,-10.990368943556403,-12.068552121102478,-11.630474602362465
50,50,-10.952034424904708,-12.055560161700942,-11.607172382144224
