,p,BIC,AIC,HQC
0,0,-5.887427554912881,-5.954327854080851,-5.927243406658919
1,1,-5.872904065134416,-5.956827130738615,-5.922847675516461
2,2,-5.86231660835064,-5.963384386466001,-5.9224591993415725
3,3,-5.831478614463746,-5.94981452805097,-5.901892285860768
4,4,-5.834423706224477,-5.970152680058969,-5.9151814510311915
5,5,-5.819247843045036,-5.972496329183358,-5.910423563203616
6,6,-5.856546665921393,-6.0274426697193135,-5.958215188404674
7,7,-5.880794405016909,-6.069467511713502,-5.993031498290546
8,8,-5.857872986959239,-6.064454388842002,-5.980755377824436
9,9,-5.9570925919786495,-6.1817151161450115,-6.090697982806308
10,10,-6.2821218422565,-6.524919978987602,-6.426528928624009
11,11,-6.451293826442713,-6.71240375820582,-6.606582315184979
12,12,-7.296850296238902,-7.576409927335336,-7.463100923925629
13,13,-7.263304394647262,-7.561453381523242,-7.440598946498892
14,14,-7.255697948565457,-7.572577730803821,-7.444119277820621
15,15,-7.245188327086522,-7.5809421590978525,-7.444820374834307
16,16,-7.244338180829271,-7.599111164261516,-7.455265996320046
17,17,-7.2086174104220095,-7.582556527308355,-7.430927171871093
18,18,-7.184298347377218,-7.577552494042531,-7.4180773832761115
19,19,-7.1507312086646495,-7.563451230411531,-7.396068019615144
20,20,-7.123075104510943,-7.555413831107055,-7.380059385597918
21,21,-7.118211995092068,-7.570324277081141,-7.386934658811395
22,22,-7.091808434732119,-7.563851180591762,-7.372361634490669
23,23,-7.053706628778973,-7.545838842949147,-7.346183782984344
24,24,-7.125951055368338,-7.63833387717518,-7.430446872126589
25,25,-7.091851524782141,-7.624648268282592,-7.4084620272224555
26,26,-7.077639395792391,-7.631015590565967,-7.406461948038342
27,27,-7.069374725268147,-7.64349815818303,-7.410508059075933
28,28,-7.068356126598558,-7.663396884580131,-7.421900368683372
29,29,-7.074098695390537,-7.6902292092213935,-7.440155395463018
30,30,-7.047738584137465,-7.685133673318926,-7.426410743673022
31,31,-7.046124531821752,-7.704961450527936,-7.4375166335864265
32,32,-7.030882853411328,-7.711341337567859,-7.435100891768769
33,33,-7.01174889126025,-7.714011206780803,-7.428900403285328
34,34,-6.971987259240619,-7.696238251455622,-7.4021813566662065
35,35,-6.931324336839338,-7.677751481152344,-7.374671738863825
36,36,-6.954604309471831,-7.723397763280287,-7.41121737645603
37,37,-6.920877053948345,-7.71222970986677,-7.3908698220315845
38,38,-6.887914273244155,-7.702021813669044,-7.3714024899105475
39,39,-6.849223369567399,-7.686284322624579,-7.346324530194529
40,40,-6.840889520897287,-7.701105317813823,-7.351722906320847
41,41,-6.805689674804572,-7.68926470874887,-7.330376389933888
42,42,-6.764497502897214,-7.6716391893324545,-7.303160516417974
43,43,-6.729117530354529,-7.6600363689522055,-7.281881715556596
44,44,-6.704962603610711,-7.6598722417726925,-7.271954780380426
45,45,-6.673154251354958,-7.652271549394238,-7.254503229373026
46,46,-6.6365283291987645,-7.64007342723085,-7.232364952386513
47,47,-6.593109710367524,-7.621306096966306,-7.2035669026261875
48,48,-6.658168941389176,-7.711243524063055,-7.283381753678726
49,49,-6.608359492320238,-7.686542669866312,-7.2484651511263
50,50,-6.563811142604304,-7.667336879400537,-7.218949099843818
