,p,BIC,AIC,HQC
0,0,-5.8327068515625005,-5.89960715073047,-5.8725227033085385
1,1,-5.817396020738956,-5.901319086343155,-5.867339631121001
2,2,-5.820397403382318,-5.921465181497679,-5.88053999437325
3,3,-5.7958866189947,-5.914222532581924,-5.866300290391722
4,4,-5.8133895309278225,-5.949118504762314,-5.894147275734537
5,5,-5.793523905187584,-5.946772391325906,-5.884699625346164
6,6,-5.847118803155244,-6.018014806953164,-5.948787325638524
7,7,-5.861852807660091,-6.050525914356684,-5.974089900933728
8,8,-5.845627242578404,-6.0522086444611665,-5.968509633443601
9,9,-5.92110300690491,-6.145725531071272,-6.054708397732568
10,10,-6.279675724608854,-6.5224738613399555,-6.424082810976364
11,11,-6.45572192918611,-6.716831860949217,-6.611010417928376
12,12,-7.273007365654878,-7.552566996751311,-7.439257993341605
13,13,-7.243689164356402,-7.5418381512323815,-7.420983716208032
14,14,-7.2399551712270975,-7.5568349534654615,-7.428376500482262
15,15,-7.223987518135136,-7.559741350146466,-7.4236195658829205
16,16,-7.214228707180487,-7.569001690612732,-7.425156522671262
17,17,-7.18277291500878,-7.556712031895125,-7.405082676457863
18,18,-7.168202143334002,-7.561456289999316,-7.401981179232896
19,19,-7.131478787186978,-7.54419880893386,-7.376815598137473
20,20,-7.107424176743985,-7.539762903340097,-7.36440845783096
21,21,-7.113463906409475,-7.565576188398548,-7.382186570128802
22,22,-7.092104357941035,-7.564147103800678,-7.3726575576995845
23,23,-7.054337258493622,-7.546469472663796,-7.346814412698993
24,24,-7.111844503595165,-7.624227325402007,-7.416340320353416
25,25,-7.083169878342373,-7.615966621842825,-7.399780380782687
26,26,-7.0634529369802825,-7.616829131753859,-7.3922754892262335
27,27,-7.0589553470368385,-7.633078779951722,-7.4000886808446245
28,28,-7.044174017768744,-7.639214775750316,-7.397718259853558
29,29,-7.067828611689752,-7.683959125520608,-7.433885311762232
30,30,-7.035554905114901,-7.672949994296362,-7.414227064650457
31,31,-7.0242292683292025,-7.6830661870353865,-7.415621370093877
32,32,-7.023491805310225,-7.703950289466755,-7.427709843667666
33,33,-7.014209662228852,-7.716471977749405,-7.43136117425393
34,34,-6.978097273921556,-7.702348266136559,-7.408291371347143
35,35,-6.940744039827655,-7.687171184140662,-7.384091441852143
36,36,-6.951221502119834,-7.72001495592829,-7.407834569104033
37,37,-6.91768246474979,-7.709035120668214,-7.387675232833029
38,38,-6.886680261356178,-7.700787801781067,-7.3701684780225705
39,39,-6.852690242601662,-7.689751195658842,-7.349791403228792
40,40,-6.83380375573703,-7.694019552653566,-7.34463714116059
41,41,-6.791867747073853,-7.675442781018151,-7.316554462203169
42,42,-6.754238133996504,-7.661379820431744,-7.292901147517264
43,43,-6.713360155030177,-7.644278993627854,-7.266124340232244
44,44,-6.702123368285657,-7.657033006447639,-7.269115545055373
45,45,-6.6695230721285,-7.64864037016778,-7.250872050146568
46,46,-6.64239267231366,-7.645937770345745,-7.238229295501409
47,47,-6.608772589913872,-7.636968976512653,-7.219229782172535
48,48,-6.652062683137828,-7.7051372658117065,-7.277275495427378
49,49,-6.602759924676366,-7.68094310222244,-7.242865583482429
50,50,-6.5565822448156945,-7.660107981611928,-7.211720202055209
