,p,BIC,AIC,HQC
0,0,-5.883964856501332,-5.950865155669302,-5.92378070824737
1,1,-5.869284880736198,-5.953207946340397,-5.919228491118243
2,2,-5.859220239165249,-5.96028801728061,-5.919362830156182
3,3,-5.828686529015868,-5.9470224426030915,-5.89910020041289
4,4,-5.832562366007472,-5.968291339841963,-5.913320110814186
5,5,-5.816984946052156,-5.970233432190478,-5.908160666210736
6,6,-5.855567845670229,-6.026463849468149,-5.957236368153509
7,7,-5.879035233106677,-6.0677083398032705,-5.991272326380314
8,8,-5.856619901457719,-6.063201303340482,-5.979502292322916
9,9,-5.95397420672062,-6.178596730886982,-6.087579597548278
10,10,-6.2816308421564795,-6.524428978887581,-6.426037928523989
11,11,-6.451629026892527,-6.712738958655634,-6.606917515634793
12,12,-7.294855912901161,-7.574415543997595,-7.461106540587888
13,13,-7.26150205269527,-7.559651039571249,-7.4387966045469
14,14,-7.254246654393659,-7.571126436632023,-7.442667983648823
15,15,-7.243112909968187,-7.5788667419795175,-7.442744957715972
16,16,-7.241624965291536,-7.596397948723782,-7.4525527807823115
17,17,-7.206054090846413,-7.579993207732758,-7.4283638522954965
18,18,-7.182466468063593,-7.5757206147289065,-7.416245503962487
19,19,-7.148504127287178,-7.56122414903406,-7.393840938237672
20,20,-7.121175007651588,-7.5535137342477,-7.378159288738563
21,21,-7.117124066474962,-7.5692363484640355,-7.38584673019429
22,22,-7.091177982542681,-7.563220728402324,-7.371731182301231
23,23,-7.053097990972764,-7.545230205142937,-7.345575145178135
24,24,-7.124252277627054,-7.636635099433896,-7.428748094385305
25,25,-7.090529872112754,-7.623326615613205,-7.407140374553068
26,26,-7.075565785685308,-7.628941980458884,-7.404388337931259
27,27,-7.0678738682197695,-7.641997301134653,-7.4090072020275555
28,28,-7.06588593096376,-7.660926688945333,-7.419430173048574
29,29,-7.0728091882626725,-7.688939702093529,-7.438865888335153
30,30,-7.046129766604188,-7.683524855785649,-7.424801926139744
31,31,-7.044469253188412,-7.703306171894596,-7.4358613549530865
32,32,-7.029684248695097,-7.710142732851628,-7.433902287052538
33,33,-7.010999521675124,-7.713261837195677,-7.428151033700202
34,34,-6.9714279259637895,-7.695678918178793,-7.401622023389377
35,35,-6.931052634595505,-7.677479778908512,-7.374400036619993
36,36,-6.9538870454876065,-7.722680499296063,-7.410500112471805
37,37,-6.919802291657589,-7.711154947576014,-7.389795059740829
38,38,-6.887228568225497,-7.701336108650387,-7.37071678489189
39,39,-6.848473474687047,-7.685534427744227,-7.345574635314177
40,40,-6.84018390898504,-7.700399705901576,-7.3510172944086
41,41,-6.804948920553258,-7.688523954497556,-7.329635635682574
42,42,-6.764210372936988,-7.671352059372229,-7.302873386457748
43,43,-6.7294958396422455,-7.660414678239922,-7.282260024844312
44,44,-6.70483199917967,-7.659741637341652,-7.271824175949385
45,45,-6.672309094831835,-7.651426392871115,-7.253658072849903
46,46,-6.636059146231769,-7.639604244263855,-7.231895769419518
47,47,-6.592561156798953,-7.620757543397735,-7.203018349057617
48,48,-6.659043911750521,-7.7121184944243995,-7.284256724040071
49,49,-6.6094003481159636,-7.6875835256620375,-7.249506006922026
50,50,-6.564595215964537,-7.66812095276077,-7.219733173204051
