,p,BIC,AIC,HQC
0,0,-5.814799424170509,-5.881699723338479,-5.854615275916547
1,1,-5.800718163416674,-5.884641229020873,-5.850661773798719
2,2,-5.809990877321404,-5.911058655436765,-5.8701334683123365
3,3,-5.788031201508855,-5.906367115096079,-5.858444872905877
4,4,-5.8100100874643985,-5.94573906129889,-5.890767832271113
5,5,-5.7890768058264825,-5.942325291964805,-5.880252525985062
6,6,-5.847396910823701,-6.018292914621621,-5.9490654333069815
7,7,-5.8597690403050064,-6.0484421470016,-5.972006133578644
8,8,-5.845548053603586,-6.052129455486349,-5.968430444468783
9,9,-5.915596166227036,-6.140218690393398,-6.049201557054695
10,10,-6.281971326619838,-6.52476946335094,-6.426378412987347
11,11,-6.459844089603858,-6.720954021366965,-6.615132578346124
12,12,-7.270647529266976,-7.55020716036341,-7.436898156953704
13,13,-7.242513729421861,-7.540662716297841,-7.419808281273491
14,14,-7.239978304448704,-7.556858086687068,-7.428399633703869
15,15,-7.223092308845899,-7.55884614085723,-7.422724356593684
16,16,-7.211938065870161,-7.566711049302406,-7.422865881360936
17,17,-7.181683355126903,-7.555622472013248,-7.403993116575986
18,18,-7.169552014360166,-7.562806161025479,-7.40333105025906
19,19,-7.132477492266576,-7.5451975140134575,-7.37781430321707
20,20,-7.109670041921282,-7.542008768517394,-7.366654323008257
21,21,-7.118166973282587,-7.570279255271661,-7.386889637001914
22,22,-7.0980721649187215,-7.570114910778364,-7.378625364677271
23,23,-7.060786030628906,-7.55291824479908,-7.353263184834277
24,24,-7.115005908473253,-7.627388730280095,-7.419501725231504
25,25,-7.087945191925488,-7.620741935425939,-7.404555694365802
26,26,-7.066915241882548,-7.620291436656124,-7.3957377941284985
27,27,-7.063942301806628,-7.638065734721511,-7.405075635614414
28,28,-7.046456045107639,-7.641496803089211,-7.400000287192452
29,29,-7.075340033728452,-7.691470547559308,-7.441396733800932
30,30,-7.0420496304318005,-7.679444719613262,-7.420721789967357
31,31,-7.028974778755742,-7.687811697461926,-7.420366880520417
32,32,-7.033728511380532,-7.714186995537062,-7.437946549737973
33,33,-7.028730103794928,-7.730992419315481,-7.445881615820006
34,34,-6.994648243721658,-7.718899235936661,-7.4248423411472455
35,35,-6.960488810534122,-7.706915954847129,-7.40383621255861
36,36,-6.965504849064285,-7.734298302872741,-7.422117916048483
37,37,-6.932261529267974,-7.723614185186398,-7.402254297351213
38,38,-6.904049920151213,-7.718157460576102,-7.387538136817605
39,39,-6.87370356295393,-7.71076451601111,-7.37080472358106
40,40,-6.849520833041385,-7.709736629957922,-7.360354218464946
41,41,-6.805010319027462,-7.688585352971759,-7.329697034156777
42,42,-6.770978342762387,-7.678120029197627,-7.309641356283147
43,43,-6.727191658182324,-7.658110496780001,-7.279955843384391
44,44,-6.729002114416198,-7.6839117525781795,-7.295994291185913
45,45,-6.699380785518208,-7.678498083557488,-7.280729763536276
46,46,-6.683568682847602,-7.687113780879687,-7.2794053060353505
47,47,-6.664903353429065,-7.693099740027847,-7.275360545687729
48,48,-6.684209773331428,-7.737284356005307,-7.309422585620978
49,49,-6.637885797239333,-7.716068974785407,-7.277991456045395
50,50,-6.596674228934462,-7.700199965730695,-7.251812186173976
