,p,t
0,0,-0.46048589593168654
1,1,-0.4871936075452386
2,2,-0.5862901458108072
3,3,-0.8198753236977812
4,4,-0.72442689623987
5,5,-0.7479143834782149
6,6,-1.0206611891767072
