,p,t
0,0,0.06861754982292734
1,1,0.06009408979476984
2,2,-0.011523279145446333
3,3,-0.19364255496149796
4,4,-0.141320264311823
5,5,-0.1591838462577148
6,6,-0.36421515799268017
