,p,t
0,0,-0.3492724183831497
1,1,-0.37277675871352406
2,2,-0.4534178108096922
3,3,-0.6402590816310548
4,4,-0.6528993082529027
5,5,-0.6692517083698766
6,6,-0.8871501183040146
