,p,t
0,0,-0.6194637024730179
1,1,-0.6341572936413644
2,2,-0.7142019327007919
3,3,-0.9035040410869584
4,4,-0.9385399448885313
5,5,-0.9504957904340258
6,6,-1.1725337778572862
