,p,t
0,0,-0.6532171135478658
1,1,-0.6849017013879659
2,2,-0.7540170048711804
3,3,-0.9049069490655381
4,4,-0.8592079150307071
5,5,-0.8756997665433301
6,6,-1.0710693221547327
