,p,BIC,AIC,HQC
0,0,-11.169651634561095,-11.236551933729066,-11.209467486307135
1,1,-11.183960254090085,-11.267883319694283,-11.23390386447213
2,2,-11.175032455065304,-11.276100233180665,-11.235175046056238
3,3,-11.193387170766115,-11.31172308435334,-11.263800842163137
4,4,-11.170612473760784,-11.306341447595274,-11.251370218567498
5,5,-11.164260214081251,-11.317508700219575,-11.25543593423983
6,6,-11.25769462579284,-11.428590629590762,-11.359363148276122
7,7,-11.227425030793887,-11.41609813749048,-11.339662124067523
8,8,-11.244608534252054,-11.451189936134817,-11.36749092511725
9,9,-11.212222651681312,-11.436845175847674,-11.345828042508971
10,10,-11.21159513694793,-11.454393273679031,-11.35600222331544
11,11,-11.190691205000453,-11.451801136763562,-11.34597969374272
12,12,-11.213314619082043,-11.492874250178476,-11.37956524676877
13,13,-11.22176594401179,-11.519914930887767,-11.399060495863418
14,14,-11.197226343360732,-11.514106125599097,-11.385647672615896
15,15,-11.172952346736388,-11.508706178747717,-11.372584394484171
16,16,-11.144874018804698,-11.499647002236944,-11.355801834295473
17,17,-11.111976801855793,-11.485915918742139,-11.334286563304877
18,18,-11.114080094350347,-11.507334241015661,-11.34785913024924
19,19,-11.135077906226282,-11.547797927973164,-11.380414717176778
20,20,-11.10058318195168,-11.532921908547792,-11.357567463038656
21,21,-11.064094911354669,-11.516207193343742,-11.332817575073998
22,22,-11.02825326626212,-11.500296012121762,-11.308806466020668
23,23,-10.9939560455181,-11.486088259688275,-11.286433199723472
24,24,-10.973070467026158,-11.485453288832998,-11.277566283784408
25,25,-10.944945158124323,-11.477741901624773,-11.261555660564637
26,26,-10.917846263178784,-11.47122245795236,-11.246668815424735
27,27,-10.884593901632423,-11.458717334547305,-11.225727235440207
28,28,-10.848605520402693,-11.443646278384264,-11.202149762487505
29,29,-10.812909610601618,-11.429040124432476,-11.178966310674099
30,30,-10.806624994329354,-11.444020083510814,-11.185297153864909
31,31,-10.785724831941472,-11.444561750647656,-11.177116933706147
32,32,-10.743862881341599,-11.42432136549813,-11.14808091969904
33,33,-10.71416361629053,-11.416425931811084,-11.13131512831561
34,34,-10.671553210693874,-11.395804202908877,-11.101747308119462
35,35,-10.656456960115628,-11.402884104428635,-11.099804362140116
36,36,-10.633766685722097,-11.402560139530554,-11.090379752706296
37,37,-10.613964220880801,-11.405316876799226,-11.08395698896404
38,38,-10.591754204225857,-11.405861744650748,-11.07524242089225
39,39,-10.56311991406012,-11.400180867117301,-11.06022107468725
40,40,-10.519396794967129,-11.379612591883665,-11.03023018039069
41,41,-10.486291375726728,-11.369866409671026,-11.010978090856044
42,42,-10.445731464883504,-11.352873151318745,-10.984394478404264
43,43,-10.40022920710824,-11.331148045705916,-10.952993392310306
44,44,-10.455394801449655,-11.410304439611638,-11.022386978219371
45,45,-10.424372649405857,-11.403489947445138,-11.005721627423924
46,46,-10.410741150426611,-11.414286248458698,-11.00657777361436
47,47,-10.366876504276021,-11.395072890874804,-10.977333696534686
48,48,-10.39043985611066,-11.443514438784538,-11.01565266840021
49,49,-10.358545763496736,-11.43672894104281,-10.998651422302798
50,50,-10.308030334812681,-11.411556071608915,-10.963168292052195
