,p,BIC,AIC,HQC
0,0,-11.132513387895052,-11.199413687063023,-11.172329239641092
1,1,-11.150556422965604,-11.234479488569802,-11.200500033347648
2,2,-11.139214292969998,-11.240282071085359,-11.199356883960931
3,3,-11.15663460786486,-11.274970521452083,-11.227048279261881
4,4,-11.13364104701224,-11.269370020846731,-11.214398791818954
5,5,-11.12082108791042,-11.274069574048744,-11.211996808069
6,6,-11.202054479862454,-11.372950483660375,-11.303723002345736
7,7,-11.175576137039018,-11.36424924373561,-11.287813230312654
8,8,-11.180607946537108,-11.387189348419872,-11.303490337402305
9,9,-11.15220024399987,-11.376822768166232,-11.285805634827529
10,10,-11.147206778726696,-11.390004915457798,-11.291613865094206
11,11,-11.132783563400208,-11.393893495163317,-11.288072052142475
12,12,-11.142391578838858,-11.42195120993529,-11.308642206525585
13,13,-11.160710570706867,-11.458859557582844,-11.338005122558496
14,14,-11.140106465197444,-11.45698624743581,-11.328527794452608
15,15,-11.114787843590506,-11.450541675601835,-11.31441989133829
16,16,-11.085162481319266,-11.439935464751512,-11.296090296810041
17,17,-11.053778618452101,-11.427717735338447,-11.276088379901186
18,18,-11.053826695398415,-11.447080842063729,-11.287605731297308
19,19,-11.070125557889302,-11.482845579636184,-11.315462368839798
20,20,-11.037959173719296,-11.470297900315407,-11.29494345480627
21,21,-11.002465106616073,-11.454577388605147,-11.271187770335402
22,22,-10.966993076081238,-11.43903582194088,-11.247546275839786
23,23,-10.933146235715101,-11.425278449885276,-11.225623389920473
24,24,-10.913259725915196,-11.425642547722036,-11.217755542673446
25,25,-10.884490879319857,-11.417287622820307,-11.201101381760171
26,26,-10.85724721279155,-11.410623407565126,-11.186069765037502
27,27,-10.823197504902286,-11.397320937817168,-11.16433083871007
28,28,-10.786492795067481,-11.381533553049055,-11.140037037152295
29,29,-10.750905782129996,-11.367036295960853,-11.116962482202476
30,30,-10.75089291182221,-11.388288001003671,-11.129565071357765
31,31,-10.73335081375438,-11.392187732460563,-11.124742915519054
32,32,-10.691224451703013,-11.371682935859544,-11.095442490060455
33,33,-10.662347377662217,-11.36460969318277,-11.079498889687295
34,34,-10.620643185272769,-11.344894177487772,-11.050837282698357
35,35,-10.605122915277422,-11.351550059590428,-11.04847031730191
36,36,-10.585923829728657,-11.354717283537113,-11.042536896712855
37,37,-10.56661134673247,-11.357964002650895,-11.03660411481571
38,38,-10.54387550546148,-11.357983045886371,-11.027363722127873
39,39,-10.51573639854747,-11.35279735160465,-11.0128375591746
40,40,-10.471860240971107,-11.332076037887644,-10.982693626394669
41,41,-10.438915052780322,-11.32249008672462,-10.963601767909639
42,42,-10.397774571763591,-11.304916258198832,-10.93643758528435
43,43,-10.3531459664039,-11.284064805001577,-10.905910151605967
44,44,-10.402535333062355,-11.357444971224337,-10.969527509832071
45,45,-10.365397473059637,-11.344514771098918,-10.946746451077704
46,46,-10.353772109852653,-11.357317207884739,-10.949608733040401
47,47,-10.30752109601346,-11.335717482612242,-10.917978288272124
48,48,-10.309836604922815,-11.362911187596692,-10.935049417212364
49,49,-10.280291970278872,-11.358475147824947,-10.920397629084935
50,50,-10.231939774474778,-11.335465511271012,-10.887077731714292
