,p,BIC,AIC,HQC
0,0,-11.12832375893294,-11.19522405810091,-11.16813961067898
1,1,-11.142035048800794,-11.225958114404992,-11.191978659182839
2,2,-11.131572788641302,-11.232640566756663,-11.191715379632235
3,3,-11.14623678967774,-11.264572703264964,-11.216650461074762
4,4,-11.122267772208842,-11.257996746043332,-11.203025517015556
5,5,-11.108296883689638,-11.261545369827962,-11.199472603848218
6,6,-11.187156961352317,-11.358052965150238,-11.288825483835598
7,7,-11.163223520187115,-11.351896626883708,-11.275460613460751
8,8,-11.163529277582361,-11.370110679465125,-11.286411668447558
9,9,-11.136679743757227,-11.36130226792359,-11.270285134584887
10,10,-11.132727394213477,-11.375525530944579,-11.277134480580987
11,11,-11.123862441784134,-11.384972373547242,-11.2791509305264
12,12,-11.12696479319219,-11.406524424288623,-11.293215420878917
13,13,-11.147040797700003,-11.44518978457598,-11.324335349551632
14,14,-11.128876210486018,-11.445755992724383,-11.317297539741181
15,15,-11.102577451566956,-11.438331283578286,-11.30220949931474
16,16,-11.074100212860387,-11.428873196292633,-11.285028028351162
17,17,-11.042273217481537,-11.416212334367883,-11.26458297893062
18,18,-11.040702067777213,-11.433956214442526,-11.274481103676106
19,19,-11.05224983934924,-11.464969861096122,-11.297586650299737
20,20,-11.022063861202177,-11.454402587798288,-11.279048142289152
21,21,-10.988359967354526,-11.4404722493436,-11.257082631073855
22,22,-10.953748575982779,-11.425791321842421,-11.234301775741327
23,23,-10.924126323622907,-11.416258537793082,-11.21660347782828
24,24,-10.912757517154098,-11.425140338960938,-11.217253333912348
25,25,-10.876724630516563,-11.409521374017013,-11.193335132956877
26,26,-10.843242530759104,-11.39661872553268,-11.172065083005055
27,27,-10.81405725561119,-11.388180688526072,-11.155190589418973
28,28,-10.774752494821591,-11.369793252803165,-11.128296736906405
29,29,-10.741023475573702,-11.357153989404559,-11.107080175646182
30,30,-10.730137509323644,-11.367532598505104,-11.108809668859198
31,31,-10.704957589914523,-11.363794508620707,-11.096349691679197
