,p,BIC,AIC,HQC
0,0,-5.891585123148126,-5.975210497108089,-5.941354937830675
1,1,-5.878377299908715,-5.979084978633754,-5.93830963236717
2,2,-5.86544986573726,-5.983362273538514,-5.935616221893348
3,3,-5.832382670043669,-5.967623714143353,-5.912855437354551
4,4,-5.827513848313387,-5.98020894387719,-5.91836631122094
5,5,-5.815303629111222,-5.98557972482047,-5.916609984842978
6,6,-5.841520154448599,-6.029505758626311,-5.953355529180208
7,7,-5.870953324640344,-6.076778531945719,-5.993393790029766
8,8,-5.844016499259426,-6.067813017965753,-5.977139089363389
9,9,-5.958674525909083,-6.200575705780549,-6.102557254492715
10,10,-6.266834509475708,-6.526975370259031,-6.421556387726611
11,11,-6.424628775547122,-6.703146036094436,-6.590269830205539
12,12,-7.2859174886831015,-7.582949596723062,-7.46255878060025
13,13,-7.252268049145063,-7.567955211719629,-7.439991692282083
14,14,-7.238276557314224,-7.572760771899164,-7.437165738194675
15,15,-7.236509665236439,-7.589934751564154,-7.446648662865686
16,16,-7.2331068076502465,-7.605618440254104,-7.45458101391556
17,17,-7.198727741006336,-7.590473482506317,-7.4316236815720425
18,18,-7.170087329152801,-7.581216664302901,-7.414492684865281
19,19,-7.13950914819106,-7.570173518709545,-7.3955127770089675
20,20,-7.1068485507260615,-7.557201390930344,-7.374540510191661
21,21,-7.102432560414459,-7.572629333683095,-7.3819041306825595
22,22,-7.075332665958227,-7.56553090204324,-7.366676373399797
23,23,-7.03637960270505,-7.546738935918563,-7.339689244103212
24,24,-7.104427898028245,-7.635110106328188,-7.419798565385004
25,25,-7.069718872210379,-7.620887917210846,-7.397246978183118
26,26,-7.06462219622862,-7.636444264161315,-7.404405500216102
27,27,-7.045438486990283,-7.638082030644355,-7.397576121888642
28,28,-7.042433705872471,-7.656069487540967,-7.407026205522434
29,29,-7.049951874605819,-7.6847530100679124,-7.4271012019532225
30,30,-7.019354594625128,-7.675496598194279,-7.409164170617612
31,31,-7.005033473793443,-7.68269430446266,-7.407608207037108
32,32,-6.9980787285805715,-7.697438837297007,-7.413525045781276
33,33,-6.984806260716398,-7.706048638818587,-7.413232137931343
34,34,-6.946969521637563,-7.690279750489803,-7.388484516363825
35,35,-6.905356297845351,-7.670922599704846,-7.360071581973031
36,36,-6.920690397402215,-7.708703687555883,-7.388718791061019
37,37,-6.893546503467367,-7.704200443676485,-7.3750025097965395
38,38,-6.855863586339241,-7.68935463963139,-7.350863427211977
39,39,-6.821483147383115,-7.678010634232322,-7.330144800117852
40,40,-6.808960297189709,-7.688726453127076,-7.331403532281987
41,41,-6.77310495235519,-7.676314987053805,-7.3094513722651575
42,42,-6.728363533798595,-7.65522569167808,-7.278736612830676
43,43,-6.6896558289772035,-7.6403814513748305,-7.254180954289952
44,44,-6.6704882374664765,-7.6452918264235,-7.249292751252227
45,45,-6.6489082390791365,-7.648007522792688,-7.242121481954715
46,46,-6.605942999800468,-7.629558999793195,-7.213696355451971
47,47,-6.5646689440478205,-7.613026044109324,-7.187095885174301
48,48,-6.618789129767707,-7.692115146723776,-7.256025265370517
