,p,BIC,AIC,HQC
0,0,-5.847771715835433,-5.931397089795396,-5.897541530517982
1,1,-5.832388506085752,-5.933096184810791,-5.892320838544206
2,2,-5.825318755838743,-5.9432311636399975,-5.895485111994831
3,3,-5.7957279688255365,-5.930969012925221,-5.876200736136419
4,4,-5.80229153201669,-5.954986627580492,-5.893143994924243
5,5,-5.786162412373696,-5.956438508082944,-5.887468768105452
6,6,-5.8269583476895965,-6.014943951867309,-5.938793722421206
7,7,-5.846937568541156,-6.05276277584653,-5.969378033930578
8,8,-5.825823597415707,-6.049620116122034,-5.95894618751967
9,9,-5.920884525133844,-6.1627857050053105,-6.064767253717476
10,10,-6.260518666081157,-6.520659526864479,-6.415240544332059
11,11,-6.430537499456333,-6.709054760003648,-6.596178554114751
12,12,-7.261046946951281,-7.558079054991242,-7.43768823886843
13,13,-7.2284775743443435,-7.544164736918909,-7.416201217481364
14,14,-7.222088595085285,-7.556572809670225,-7.420977775965737
15,15,-7.209262685348833,-7.562687771676548,-7.419401682978079
16,16,-7.2054133494023125,-7.57792498200617,-7.426887555667626
17,17,-7.170371930991971,-7.562117672491952,-7.403267871557677
18,18,-7.148764374550713,-7.559893709700813,-7.393169730263193
19,19,-7.1136796333866785,-7.544344003905164,-7.369683262204586
20,20,-7.086999833550951,-7.537352673755234,-7.354691793016551
21,21,-7.085635624633511,-7.555832397902147,-7.365107194901611
22,22,-7.061002245706796,-7.551200481791808,-7.352345953148365
23,23,-7.022870191335077,-7.53322952454859,-7.326179832733239
24,24,-7.090973671488385,-7.621655879788328,-7.406344338845144
25,25,-7.058884704394326,-7.610053749394792,-7.386412810367064
26,26,-7.04237310978656,-7.614195177719255,-7.382156413774042
27,27,-7.0362486968499764,-7.628892240504049,-7.388386331748336
28,28,-7.031108726401985,-7.644744508070482,-7.395701226051949
29,29,-7.042967910679902,-7.677769046141996,-7.420117238027306
30,30,-7.01521935575089,-7.671361359320041,-7.405028931743375
31,31,-7.014022595961679,-7.691683426630896,-7.416597329205344
32,32,-7.005117154019937,-7.704477262736372,-7.420563471220641
33,33,-6.9881280012085005,-7.70937037931069,-7.4165538784234455
34,34,-6.948600929710132,-7.691911158562372,-7.390115924436394
35,35,-6.90884219786793,-7.6744084997274244,-7.36355748199561
36,36,-6.929287748334124,-7.7173010384877925,-7.3973161419929285
37,37,-6.89602908714684,-7.706683027355958,-7.377485093476013
38,38,-6.865222887077307,-7.698713940369456,-7.360222727950043
39,39,-6.826053217659857,-7.682580704509064,-7.334714870394594
40,40,-6.815390418265715,-7.695156574203082,-7.337833653357993
41,41,-6.781280925329309,-7.684490960027924,-7.317627345239276
42,42,-6.741222166016322,-7.6680843238958065,-7.291595245048403
43,43,-6.709675902568247,-7.660401524965874,-7.274201027880995
44,44,-6.682030986664672,-7.656834575621695,-7.260835500450423
45,45,-6.646077328539916,-7.645176612253468,-7.239290571415495
46,46,-6.609658998176337,-7.633274998169064,-7.217412353827839
47,47,-6.565384680182893,-7.613741780244396,-7.187811621309374
48,48,-6.635096391310558,-7.708422408266626,-7.272332526913368
49,49,-6.587218419946255,-7.685744676313954,-7.23940154401281
50,50,-6.542289847294097,-7.6662512458828544,-7.209559988926936
