,p,BIC,AIC,HQC
0,0,-5.7999001401187655,-5.883525514078728,-5.849669954801314
1,1,-5.784687793510634,-5.885395472235673,-5.844620125969088
2,2,-5.791281320004685,-5.909193727805939,-5.861447676160773
3,3,-5.766514570906756,-5.90175561500644,-5.846987338217638
4,4,-5.786375989052277,-5.93907108461608,-5.87722845195983
5,5,-5.76522201397393,-5.935498109683178,-5.866528369705686
6,6,-5.8216719022698875,-6.0096575064476,-5.933507277001497
7,7,-5.835365005257129,-6.041190212562503,-5.9578054706465515
8,8,-5.818980560342919,-6.042777079049246,-5.952103150446883
9,9,-5.892767111988549,-6.134668291860016,-6.036649840572181
10,10,-6.252512228696914,-6.512653089480237,-6.407234106947817
11,11,-6.431196056762716,-6.7097133173100305,-6.5968371114211335
12,12,-7.243800496070004,-7.540832604109965,-7.420441787987152
13,13,-7.215085725417076,-7.530772887991642,-7.402809368554096
14,14,-7.2115174571880525,-7.546001671772992,-7.410406638068504
15,15,-7.1951612556615645,-7.54858634198928,-7.405300253290811
16,16,-7.1845758438004585,-7.557087476404316,-7.406050050065772
17,17,-7.153700328637193,-7.5454460701371735,-7.386596269202899
18,18,-7.139941904352274,-7.551071239502375,-7.384347260064755
19,19,-7.103009443269247,-7.533673813787733,-7.359013072087155
20,20,-7.079113519927831,-7.529466360132114,-7.3468054793934305
21,21,-7.085883559399732,-7.556080332668368,-7.365355129667832
22,22,-7.064900321736303,-7.5550985578213155,-7.356244029177873
23,23,-7.027129317566719,-7.537488650780232,-7.330438958964882
24,24,-7.082730537554457,-7.6134127458544,-7.398101204911216
25,25,-7.05448383861082,-7.605652883611286,-7.382011944583558
26,26,-7.034302011479719,-7.606124079412414,-7.374085315467201
27,27,-7.030030742923473,-7.622674286577546,-7.3821683778218326
28,28,-7.013849319016982,-7.627485100685479,-7.378441818666945
29,29,-7.040639682894566,-7.67544081835666,-7.41778901024197
30,30,-7.007826424875004,-7.663968428444155,-7.397636000867489
31,31,-6.995087694865372,-7.6727485255345895,-7.3976624281090375
32,32,-6.998235554711343,-7.697595663427778,-7.413681871912047
33,33,-6.988861116436678,-7.710103494538868,-7.417286993651623
34,34,-6.953251504664678,-7.696561733516918,-7.39476649939094
35,35,-6.916368551645968,-7.681934853505463,-7.371083835773648
36,36,-6.924661705000624,-7.712674995154292,-7.392690098659428
37,37,-6.8918232945255005,-7.702477234734618,-7.373279300854673
38,38,-6.861285110497741,-7.69477616378989,-7.356284951370477
39,39,-6.8298069700326876,-7.6863344568818945,-7.338468622767424
40,40,-6.811697310150499,-7.691463466087866,-7.334140545242777
41,41,-6.768810556290385,-7.672020590989,-7.305156976200352
42,42,-6.731961210790874,-7.658823368670358,-7.282334289822955
43,43,-6.688788480316893,-7.63951410271452,-7.253313605629641
44,44,-6.6785092136323945,-7.653312802589418,-7.257313727418145
45,45,-6.646013853439029,-7.64511313715258,-7.2392270963146075
46,46,-6.621241587975212,-7.644857587967939,-7.228994943626715
47,47,-6.59009822176006,-7.638455321821564,-7.212525162886541
48,48,-6.632017211983115,-7.705343228939183,-7.2692533475859245
49,49,-6.583303450526944,-7.681829706894643,-7.235486574593499
50,50,-6.539324189663527,-7.663285588252284,-7.206594331296366
