,p,BIC,AIC,HQC
0,0,-5.803766215533672,-5.887391589493634,-5.853536030216221
1,1,-5.78921810788623,-5.889925786611268,-5.849150440344684
2,2,-5.798718845418894,-5.916631253220149,-5.868885201574982
3,3,-5.775359026636808,-5.910600070736492,-5.85583179394769
4,4,-5.797269434021996,-5.949964529585799,-5.888121896929549
5,5,-5.779415344322994,-5.949691440032242,-5.8807217000547505
6,6,-5.836443150176039,-6.024428754353751,-5.948278524907648
7,7,-5.853636570610681,-6.059461777916056,-5.976077036000103
8,8,-5.83765700191747,-6.061453520623797,-5.970779592021433
9,9,-5.903890145802861,-6.1457913256743275,-6.047772874386493
10,10,-6.254071318698995,-6.514212179482318,-6.4087931969498975
11,11,-6.42306483354842,-6.701582094095734,-6.588705888206837
12,12,-7.2428714535274095,-7.53990356156737,-7.419512745444558
13,13,-7.213947696545689,-7.529634859120255,-7.401671339682709
14,14,-7.21078636164344,-7.54527057622838,-7.409675542523892
15,15,-7.194111077635905,-7.5475361639636205,-7.404250075265152
16,16,-7.183544935322681,-7.556056567926539,-7.405019141587995
17,17,-7.152635764070242,-7.544381505570223,-7.385531704635948
18,18,-7.139426614880058,-7.550555950030159,-7.383831970592539
19,19,-7.10232529758159,-7.532989668100075,-7.358328926399498
20,20,-7.078802247647687,-7.5291550878519695,-7.346494207113286
21,21,-7.086869023903091,-7.557065797171727,-7.3663405941711915
22,22,-7.070100427634607,-7.56029866371962,-7.3614441350761775
23,23,-7.032298969228847,-7.54265830244236,-7.335608610627009
24,24,-7.1021556539355615,-7.632837862235505,-7.41752632129232
25,25,-7.074133593554904,-7.62530263855537,-7.401661699527642
26,26,-7.052521901255204,-7.624343969187899,-7.392305205242686
27,27,-7.048137486270066,-7.640781029924138,-7.400275121168425
28,28,-7.028904837539329,-7.642540619207826,-7.3934973371892925
29,29,-7.052298311710658,-7.687099447172751,-7.429447639058061
30,30,-7.016979540527121,-7.673121544096272,-7.406789116519605
31,31,-7.004791752322712,-7.682452582991929,-7.407366485566377
32,32,-7.005404820303264,-7.704764929019699,-7.420851137503968
33,33,-6.990880533016303,-7.712122911118493,-7.419306410231248
34,34,-6.954181984841959,-7.6974922136942,-7.395696979568221
35,35,-6.918978485246514,-7.684544787106009,-7.373693769374194
36,36,-6.929907070702397,-7.717920360856065,-7.397935464361201
37,37,-6.896392230307577,-7.707046170516695,-7.3778482366367495
38,38,-6.86831633408079,-7.701807387372939,-7.363316174953526
39,39,-6.833328655548123,-7.68985614239733,-7.34199030828286
40,40,-6.809889575446795,-7.689655731384162,-7.332332810539073
41,41,-6.765815904313223,-7.6690259390118385,-7.302162324223191
42,42,-6.731610083195998,-7.658472241075483,-7.281983162228079
43,43,-6.688538693573081,-7.639264315970708,-7.253063818885829
44,44,-6.689201612862555,-7.664005201819578,-7.268006126648306
45,45,-6.656511553556258,-7.655610837269809,-7.2497247964318365
46,46,-6.64172679165616,-7.665342791648888,-7.249480147307663
47,47,-6.6225391466130095,-7.670896246674513,-7.24496608773949
48,48,-6.64470227483225,-7.718028291788318,-7.2819384104350595
49,49,-6.599822668715981,-7.69834892508368,-7.252005792782536
50,50,-6.557556915915549,-7.681518314504306,-7.224827057548388
