,p,t
0,0,-1.566684964218968
1,1,-1.5327484619942997
2,2,-1.5250616068844653
3,3,-1.560141084393047
4,4,-1.4165817931994764
5,5,-1.3984696396480676
6,6,-1.4150807688768883
