,p,t
0,0,-2.0482749525058814
1,1,-2.0404538665018213
2,2,-2.019040944352873
3,3,-1.9961438265205826
4,4,-1.7830449024885346
5,5,-1.7797605754196335
6,6,-1.7297060534777933
