,p,t
0,0,-1.2357403964514873
1,1,-1.2067481970061449
2,2,-1.216613619507082
3,3,-1.1879248355440089
4,4,-1.155716945081623
5,5,-1.1570398028327171
6,6,-1.1654975227922784
