,p,t
0,0,-1.5701220378884257
1,1,-1.5449209071875567
2,2,-1.5500111677682888
3,3,-1.5246182183078794
4,4,-1.3969839685568808
5,5,-1.379511997469011
6,6,-1.3602796118727902
