,p,t
0,0,-0.7700161756958691
1,1,-0.7664744593821998
2,2,-0.7598376928167409
3,3,-0.7817173297581278
4,4,-0.5274886058616465
5,5,-0.5270713001844258
6,6,-0.4920271642959008
