,p,t
0,0,-0.93835214642119
1,1,-0.9048763435032279
2,2,-0.8845895555500586
3,3,-0.8677197664907217
4,4,-0.909885929001964
5,5,-0.899433829430494
6,6,-0.8496670891161408
