,p,t
0,0,-1.2978177114436276
1,1,-1.3002322833536226
2,2,-1.294874668443297
3,3,-1.3417708043646792
4,4,-1.6166866765489956
5,5,-1.6250462838896778
6,6,-1.670027481577083
