,p,t
0,0,-3.5438312535983454
1,1,-3.5470485853172127
2,2,-2.9668601194559345
3,3,-2.730897509455235
4,4,-2.0905255563518703
5,5,-2.3157724340903396
6,6,-1.59902098350138
