,p,BIC,AIC,HQC
0,0,-11.03371126197169,-11.117336635931652,-11.08348107665424
1,1,-11.902847161403992,-12.00355484012903,-11.962779493862447
2,2,-12.190578148130259,-12.308490555931513,-12.260744504286347
3,3,-12.182035210901317,-12.317276255001001,-12.262507978212199
4,4,-12.226495216975172,-12.379190312538974,-12.317347679882724
5,5,-12.250526488072405,-12.420802583781652,-12.35183284380416
6,6,-12.222684755280476,-12.410670359458187,-12.334520130012084
7,7,-12.238602127416474,-12.444427334721848,-12.361042592805894
8,8,-12.217155798010102,-12.440952316716428,-12.350278388114065
9,9,-12.191769654195555,-12.433670834067021,-12.335652382779188
10,10,-12.16052396554438,-12.420664826327702,-12.315245843795282
11,11,-12.129414511238455,-12.40793177178577,-12.295055565896872
12,12,-12.101529284354344,-12.398561392394305,-12.278170576271492
13,13,-12.077417426218517,-12.393104588793085,-12.265141069355538
14,14,-12.042956291140198,-12.37744050572514,-12.24184547202065
15,15,-12.006927174169071,-12.360352260496786,-12.217066171798317
16,16,-11.984622919344314,-12.357134551948173,-12.206097125609627
17,17,-11.947717349602643,-12.339463091102623,-12.180613290168349
18,18,-11.91444386204548,-12.325573197195583,-12.158849217757961
19,19,-11.8866887100081,-12.317353080526585,-12.142692338826008
20,20,-11.881011560652615,-12.331364400856899,-12.148703520118215
21,21,-11.845065072944443,-12.31526184621308,-12.124536643212544
22,22,-11.808389540995865,-12.29858777708088,-12.099733248437436
23,23,-11.828338036062457,-12.338697369275971,-12.13164767746062
24,24,-11.905007162260423,-12.435689370560366,-12.220377829617183
25,25,-11.876064414147342,-12.427233459147809,-12.20359252012008
26,26,-11.845205674308174,-12.417027742240869,-12.184988978295657
27,27,-11.818775714385161,-12.411419258039235,-12.170913349283522
28,28,-11.78646558312257,-12.400101364791068,-12.151058082772535
29,29,-11.776564851461648,-12.411365986923743,-12.153714178809052
30,30,-11.742376846140026,-12.398518849709177,-12.132186422132511
31,31,-11.720457192063096,-12.398118022732314,-12.12303192530676
32,32,-11.689191902625915,-12.38855201134235,-12.104638219826619
33,33,-11.679697760090797,-12.400940138192986,-12.108123637305743
34,34,-11.646023694809323,-12.389333923661564,-12.087538689535585
35,35,-11.607467216592362,-12.373033518451857,-12.062182500720041
36,36,-11.569438410849884,-12.357451701003553,-12.03746680450869
37,37,-11.526106470636815,-12.336760410845931,-12.007562476965987
38,38,-11.489485864704735,-12.322976917996884,-11.98448570557747
39,39,-11.44677322303101,-12.303300709880219,-11.955434875765748
40,40,-11.410856629977904,-12.29062278591527,-11.93329986507018
41,41,-11.382493048430288,-12.285703083128903,-11.918839468340254
42,42,-11.336857823103639,-12.263719980983122,-11.887230902135718
43,43,-11.304297841320126,-12.255023463717754,-11.868822966632875
44,44,-11.267212307727576,-12.242015896684599,-11.846016821513327
45,45,-11.222343785942298,-12.221443069655848,-11.815557028817876
46,46,-11.18069022958592,-12.204306229578647,-11.788443585237422
47,47,-11.139316644719983,-12.187673744781486,-11.761743585846464
48,48,-11.09071099217828,-12.164037009134349,-11.727947127781091
49,49,-11.051002210601762,-12.14952846696946,-11.703185334668316
50,50,-11.014391163891608,-12.138352562480364,-11.681661305524447
