,p,BIC,AIC,HQC
0,0,-11.034242789866234,-11.117868163826195,-11.084012604548782
1,1,-11.906187155824064,-12.006894834549103,-11.96611948828252
2,2,-12.192885821603653,-12.310798229404908,-12.263052177759741
3,3,-12.18467380037944,-12.319914844479124,-12.265146567690321
4,4,-12.228090409464848,-12.38078550502865,-12.3189428723724
5,5,-12.251343302921399,-12.421619398630646,-12.352649658653155
6,6,-12.223443390796403,-12.411428994974115,-12.335278765528011
7,7,-12.23847316901929,-12.444298376324664,-12.36091363440871
8,8,-12.216450469845597,-12.440246988551923,-12.34957305994956
9,9,-12.19045201834644,-12.432353198217905,-12.334334746930072
10,10,-12.158699934161557,-12.41884079494488,-12.313421812412459
11,11,-12.12733063002199,-12.405847890569305,-12.292971684680408
12,12,-12.098929781560607,-12.395961889600567,-12.275571073477755
13,13,-12.074383006371995,-12.390070168946561,-12.262106649509015
14,14,-12.040181460599282,-12.374665675184223,-12.239070641479733
15,15,-12.00443350128404,-12.357858587611757,-12.214572498913288
16,16,-11.982992959729906,-12.355504592333764,-12.204467165995219
17,17,-11.946102916279981,-12.337848657779961,-12.178998856845688
18,18,-11.912312305441501,-12.323441640591604,-12.156717661153982
19,19,-11.883833567176787,-12.314497937695272,-12.139837195994694
20,20,-11.876808606543584,-12.327161446747867,-12.144500566009183
21,21,-11.840459150411535,-12.310655923680171,-12.119930720679635
22,22,-11.80380741964809,-12.294005655733104,-12.095151127089661
23,23,-11.821016608843234,-12.331375942056749,-12.124326250241397
24,24,-11.901029284343252,-12.431711492643196,-12.216399951700012
25,25,-11.87246930731726,-12.423638352317727,-12.19999741329
26,26,-11.841704859256932,-12.413526927189627,-12.181488163244415
27,27,-11.815604266236999,-12.408247809891073,-12.16774190113536
28,28,-11.782912583883382,-12.39654836555188,-12.147505083533346
29,29,-11.772883358087654,-12.407684493549748,-12.150032685435058
30,30,-11.738751593299547,-12.394893596868698,-12.128561169292032
31,31,-11.713720438477246,-12.391381269146464,-12.11629517172091
32,32,-11.681505212454443,-12.380865321170878,-12.096951529655147
33,33,-11.669236165283404,-12.390478543385594,-12.097662042498351
34,34,-11.635114520822071,-12.378424749674313,-12.076629515548333
35,35,-11.59707878987503,-12.362645091734525,-12.051794074002709
36,36,-11.5585574795727,-12.34657076972637,-12.026585873231506
37,37,-11.515218805734158,-12.325872745943276,-11.99667481206333
38,38,-11.477756349054944,-12.311247402347094,-11.97275618992768
39,39,-11.435566245048479,-12.292093731897687,-11.944227897783216
40,40,-11.39885328578211,-12.278619441719476,-11.921296520874387
41,41,-11.36900244379963,-12.272212478498245,-11.905348863709596
42,42,-11.32381025110209,-12.250672408981574,-11.87418333013417
43,43,-11.291205792200756,-12.241931414598383,-11.855730917513505
44,44,-11.25291969966351,-12.227723288620533,-11.831724213449261
45,45,-11.206598581622464,-12.205697865336013,-11.799811824498041
46,46,-11.163403844488045,-12.187019844480771,-11.771157200139546
47,47,-11.12180011230344,-12.170157212364943,-11.74422705342992
48,48,-11.073414206181889,-12.146740223137957,-11.7106503417847
49,49,-11.033742382644242,-12.132268639011942,-11.685925506710797
50,50,-10.996113712377763,-12.12007511096652,-11.663383854010602
