,p,BIC,AIC,HQC
0,0,-11.059524071690088,-11.14314944565005,-11.109293886372637
1,1,-11.897587781824786,-11.998295460549825,-11.957520114283241
2,2,-12.174049152453454,-12.291961560254709,-12.244215508609543
3,3,-12.16151345961225,-12.296754503711934,-12.241986226923132
4,4,-12.205452676160292,-12.358147771724093,-12.296305139067844
5,5,-12.228280703261719,-12.398556798970967,-12.329587058993475
6,6,-12.20318121175697,-12.391166815934682,-12.315016586488579
7,7,-12.21802365607477,-12.423848863380146,-12.340464121464192
8,8,-12.196152794002604,-12.41994931270893,-12.329275384106566
9,9,-12.169963240261556,-12.411864420133021,-12.313845968845188
10,10,-12.139211853845113,-12.399352714628435,-12.293933732096015
11,11,-12.10925844263969,-12.387775703187005,-12.274899497298108
12,12,-12.079812319830788,-12.376844427870749,-12.256453611747936
13,13,-12.052757422084284,-12.368444584658851,-12.240481065221305
14,14,-12.017963572028345,-12.352447786613286,-12.216852752908796
15,15,-11.981850312107579,-12.335275398435295,-12.191989309736826
16,16,-11.959088583945032,-12.33160021654889,-12.180562790210345
17,17,-11.9219472541978,-12.31369299569778,-12.154843194763506
18,18,-11.890156962345765,-12.301286297495867,-12.134562318058245
19,19,-11.865307942066298,-12.295972312584784,-12.121311570884206
20,20,-11.859497852767724,-12.309850692972008,-12.127189812233324
21,21,-11.824637308231022,-12.294834081499658,-12.104108878499122
22,22,-11.788585720042432,-12.278783956127446,-12.079929427484004
23,23,-11.810860290855896,-12.32121962406941,-12.11416993225406
24,24,-11.882552943626209,-12.413235151926152,-12.197923610982969
25,25,-11.859407325775896,-12.410576370776363,-12.186935431748635
26,26,-11.827433062730016,-12.399255130662711,-12.167216366717499
27,27,-11.80619454720789,-12.398838090861963,-12.15833218210625
28,28,-11.78128795549803,-12.394923737166527,-12.145880455147994
29,29,-11.774921828698941,-12.409722964161036,-12.152071156046345
30,30,-11.738613690465668,-12.394755694034819,-12.128423266458153
31,31,-11.720305336627069,-12.397966167296287,-12.122880069870734
32,32,-11.686673509858121,-12.386033618574556,-12.102119827058825
33,33,-11.688805305792428,-12.410047683894618,-12.117231183007375
34,34,-11.657493549604789,-12.40080377845703,-12.09900854433105
35,35,-11.618263147776057,-12.383829449635552,-12.072978431903737
36,36,-11.58332545733814,-12.371338747491809,-12.051353850996945
37,37,-11.542065610177733,-12.35271955038685,-12.023521616506905
38,38,-11.517095022008455,-12.350586075300605,-12.01209486288119
39,39,-11.472593350839213,-12.329120837688421,-11.981255003573951
40,40,-11.458426137150846,-12.338192293088213,-11.980869372243124
41,41,-11.447079289477044,-12.350289324175659,-11.98342570938701
42,42,-11.407007211651473,-12.333869369530957,-11.957380290683552
43,43,-11.386422886061647,-12.337148508459274,-11.950948011374395
44,44,-11.38410153161733,-12.358905120574354,-11.962906045403082
45,45,-11.374500775151489,-12.373600058865039,-11.967714018027067
46,46,-11.347893272667639,-12.371509272660365,-11.95564662831914
47,47,-11.312144646335234,-12.360501746396737,-11.934571587461715
48,48,-11.264578236258082,-12.33790425321415,-11.901814371860892
49,49,-11.215107286138739,-12.31363354250644,-11.867290410205294
50,50,-11.19764991559258,-12.321611314181336,-11.864920057225419
