,p,BIC,AIC,HQC
0,0,-11.071464076480565,-11.155089450440526,-11.121233891163113
1,1,-11.941915173340202,-12.042622852065241,-12.001847505798658
2,2,-12.260836779008919,-12.378749186810174,-12.331003135165007
3,3,-12.25574762435012,-12.390988668449804,-12.336220391661001
4,4,-12.309936129647053,-12.462631225210854,-12.400788592554605
5,5,-12.342637071764214,-12.512913167473462,-12.44394342749597
6,6,-12.31631058468003,-12.504296188857742,-12.428145959411639
7,7,-12.328778162247495,-12.534603369552869,-12.451218627636916
8,8,-12.315452786490402,-12.539249305196728,-12.448575376594365
9,9,-12.28848703965123,-12.530388219522695,-12.432369768234862
10,10,-12.258524024653799,-12.51866488543712,-12.4132459029047
11,11,-12.229500359872743,-12.508017620420057,-12.39514141453116
12,12,-12.205129745289526,-12.502161853329486,-12.381771037206674
13,13,-12.182015058066483,-12.49770222064105,-12.369738701203504
14,14,-12.147325786315044,-12.481810000899985,-12.346214967195495
15,15,-12.111590329757682,-12.465015416085398,-12.32172932738693
16,16,-12.089106825791745,-12.461618458395604,-12.310581032057058
17,17,-12.052272822476002,-12.444018563975982,-12.285168763041709
18,18,-12.020290332514541,-12.431419667664644,-12.264695688227022
19,19,-11.996863870309623,-12.427528240828108,-12.25286749912753
20,20,-11.997104502206964,-12.447457342411248,-12.264796461672564
21,21,-11.961416147619518,-12.431612920888155,-12.240887717887619
22,22,-11.924896583278262,-12.415094819363276,-12.216240290719833
23,23,-11.94628035809405,-12.456639691307565,-12.249589999492214
24,24,-12.0323733654012,-12.563055573701144,-12.34774403275796
25,25,-12.000309511683286,-12.551478556683753,-12.327837617656025
26,26,-11.969455486973397,-12.541277554906092,-12.30923879096088
27,27,-11.948602976023254,-12.541246519677328,-12.300740610921615
28,28,-11.920903910081762,-12.53453969175026,-12.285496409731726
29,29,-11.920790467826581,-12.555591603288676,-12.297939795173985
30,30,-11.8900521025473,-12.54619410611645,-12.279861678539785
31,31,-11.862732420910858,-12.540393251580076,-12.265307154154522
32,32,-11.829024436507858,-12.528384545224293,-12.244470753708562
33,33,-11.827738617581558,-12.548980995683749,-12.256164494796504
34,34,-11.792943491762383,-12.536253720614624,-12.234458486488645
35,35,-11.756581035251042,-12.522147337110537,-12.211296319378722
36,36,-11.718535347436653,-12.506548637590322,-12.186563741095458
37,37,-11.678535649088598,-12.489189589297714,-12.15999165541777
38,38,-11.649649593433487,-12.483140646725637,-12.144649434306222
39,39,-11.605491152056986,-12.462018638906194,-12.114152804791724
40,40,-11.575999985899765,-12.455766141837131,-12.098443220992042
41,41,-11.554166319552364,-12.457376354250979,-12.09051273946233
42,42,-11.508361838771531,-12.435223996651015,-12.05873491780361
43,43,-11.484497795469663,-12.43522341786729,-12.049022920782411
44,44,-11.443957972664561,-12.418761561621585,-12.022762486450313
45,45,-11.400847858216911,-12.399947141930461,-11.99406110109249
46,46,-11.359285623514037,-12.382901623506763,-11.967038979165538
47,47,-11.327017087985277,-12.37537418804678,-11.949444029111758
48,48,-11.27856172958766,-12.351887746543728,-11.91579786519047
49,49,-11.25168313526854,-12.350209391636238,-11.903866259335093
50,50,-11.21291153999624,-12.336872938584996,-11.880181681629079
