,p,BIC,AIC,HQC
0,0,-11.032298652219701,-11.115924026179663,-11.08206846690225
1,1,-11.902978175960833,-12.003685854685871,-11.962910508419288
2,2,-12.19495559709836,-12.312868004899615,-12.265121953254448
3,3,-12.185753934772825,-12.320994978872509,-12.266226702083706
4,4,-12.225436585436698,-12.3781316810005,-12.31628904834425
5,5,-12.245549786590677,-12.415825882299925,-12.346856142322434
6,6,-12.217963655697025,-12.405949259874737,-12.329799030428633
7,7,-12.228024356457265,-12.433849563762639,-12.350464821846685
8,8,-12.203079477238202,-12.426875995944528,-12.336202067342164
9,9,-12.173833324498572,-12.415734504370038,-12.317716053082204
10,10,-12.14055243372173,-12.400693294505052,-12.295274311972632
11,11,-12.108133313111635,-12.38665057365895,-12.273774367770052
12,12,-12.078286442245131,-12.375318550285092,-12.25492773416228
13,13,-12.053740516439674,-12.36942767901424,-12.241464159576694
14,14,-12.021454882185317,-12.355939096770259,-12.220344063065768
15,15,-11.987428225106548,-12.340853311434264,-12.197567222735795
16,16,-11.96950454515764,-12.342016177761499,-12.190978751422954
17,17,-11.93292245508541,-12.32466819658539,-12.165818395651117
18,18,-11.898050200071749,-12.309179535221851,-12.14245555578423
19,19,-11.868225987664283,-12.298890358182769,-12.124229616482191
20,20,-11.856840808478113,-12.307193648682397,-12.124532767943712
21,21,-11.819725665381698,-12.289922438650335,-12.099197235649799
22,22,-11.783644520041053,-12.273842756126067,-12.074988227482624
23,23,-11.79438142745267,-12.304740760666185,-12.097691068850834
24,24,-11.879515749024385,-12.410197957324328,-12.194886416381145
25,25,-11.84869518501892,-12.399864230019388,-12.17622329099166
26,26,-11.81662316480301,-12.388445232735705,-12.156406468790493
27,27,-11.789974941188726,-12.3826184848428,-12.142112576087086
28,28,-11.755019879748746,-12.368655661417243,-12.11961237939871
29,29,-11.743265276284767,-12.378066411746861,-12.12041460363217
30,30,-11.707726822161744,-12.363868825730895,-12.09753639815423
31,31,-11.678665058640993,-12.356325889310211,-12.081239791884657
32,32,-11.645855039016753,-12.345215147733189,-12.061301356217458
33,33,-11.627477531643793,-12.348719909745984,-12.05590340885874
34,34,-11.590321619640234,-12.333631848492475,-12.031836614366496
35,35,-11.555986980525452,-12.321553282384947,-12.010702264653132
36,36,-11.514831215865717,-12.302844506019387,-11.982859609524523
37,37,-11.472022882719472,-12.28267682292859,-11.953478889048645
38,38,-11.43068970555698,-12.264180758849129,-11.925689546429714
39,39,-11.390562299902456,-12.247089786751664,-11.899223952637193
40,40,-11.349808507250598,-12.229574663187964,-11.872251742342876
41,41,-11.316150273521664,-12.21936030822028,-11.85249669343163
42,42,-11.27291923112647,-12.199781389005954,-11.82329231015855
43,43,-11.240722536251432,-12.19144815864906,-11.80524766156418
44,44,-11.200790961827597,-12.17559455078462,-11.779595475613348
45,45,-11.153644044397666,-12.152743328111216,-11.746857287273244
46,46,-11.111154202356865,-12.134770202349591,-11.718907558008366
47,47,-11.07104716647187,-12.119404266533373,-11.69347410759835
48,48,-11.023053951373411,-12.09637996832948,-11.660290086976222
49,49,-10.984534969578501,-12.0830612259462,-11.636718093645054
50,50,-10.947299673616351,-12.071261072205107,-11.61456981524919
